trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.91308894031230825}",20,1,-164.2768732758031,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 3}",1
43,False,"{'a': 0.5, 'e': 0.90896574967488508}",25,3,-75.45750892322721,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.90475166321996336}",35,0,-198.71471341228005,"{0: 19, 1: 3, 2: 10, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.90044710235267689}",25,0,-71.23620249867221,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.89605249752552518}",20,0,-84.10411318847659,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.89156828819532896}",25,13,-28.997539825114977,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.88699492277928416}",20,1,-67.9740872897821,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.88233285861012145}",25,0,-125.41215580587311,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.87758256189037276}",20,0,-131.3231298745122,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.87274450764575129}",20,0,-120.7146082970639,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.86781917967764988}",20,11,9.679137793159704,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.86280707051476102}",20,0,-95.37558966484957,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.85770868136382417}",25,0,-71.61138878429612,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.85252452205950568}",30,0,-280.2245036609766,"{0: 18, 1: 0, 2: 4, 3: 3, 4: 5}",0
56,False,"{'a': 0.5, 'e': 0.84725511101341611}",20,10,-29.314032010055513,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.84190097516226869}",20,7,-35.3678643886801,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.83646264991518693}",20,0,-116.89127819705443,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.83094067910016356}",25,7,3.2949272699633436,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.82533561490967833}",25,0,-97.38189054823481,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.81964801784547947}",35,0,-135.3753414190768,"{0: 19, 1: 8, 2: 6, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.81387845666253389}",25,0,-103.94971983483306,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.80802750831215187}",25,0,-91.4170283453886,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.80209575788429266}",30,0,-23.77447922189484,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.79608379854905587}",20,0,-64.53912488923201,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.78999223149736508}",20,2,-84.92352870258715,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
